# error_sites.tsv — every error-throwing call site → corresponding Err(...)
# Columns: c_call	rust_equivalent	notes
# STATUS: populated. Patterns grouped by C-side error function. One row per
# distinct call shape; specific verbatim call sites in the source tree are
# instances of these patterns. The Rust equivalent is the canonical form
# to emit at the call site (see PORTING.md §4.2 and §6).
#
# Conventions:
#  - `state` is the conventional binding for `&mut LuaState`.
#  - `?` propagates from any helper that itself returns `Result<_, LuaError>`.
#  - `format_args!(...)` is preferred over `format!(...)`: no allocation
#    unless the error is realized.
#  - Constructors referenced (defined in `crates/lua-core/src/error.rs`):
#      LuaError::runtime(args)         -> Runtime(LuaValue::String(...))
#      LuaError::syntax(args)          -> Syntax(LuaValue::String(...))
#      LuaError::type_error(v, op)     -> Runtime with "attempt to <op> a <t> value"
#      LuaError::concat_error(p1, p2)  -> Runtime, typeerror on first non-coercible
#      LuaError::arith_error(p1, p2)   -> Runtime, "attempt to perform arithmetic"
#      LuaError::int_overflow(p1, p2)  -> Runtime, "number ... has no integer representation"
#      LuaError::order_error(p1, p2)   -> Runtime, "attempt to compare ..."
#      LuaError::call_error(v)         -> Runtime, "attempt to call a <t> value"
#      LuaError::for_error(v, what)    -> Runtime, "bad 'for' <what> (number expected...)"
#      LuaError::arg_error(narg, msg)  -> Runtime, "bad argument #N (...)"
#      LuaError::type_arg_error(narg, expected, got_v)
#                                      -> Runtime, "<expected> expected, got <type>"
#      LuaError::from_value(v)         -> Runtime(v)        (caller-supplied value)
#      LuaError::from_top(state)       -> Runtime(state.pop())
#      LuaError::with_status(status)   -> variant chosen by status code
#
# --- runtime errors (ldebug.c) ---
luaD_throw(L, errcode)	return Err(LuaError::with_status(errcode))	Final throw point in C (setjmp/longjmp). In Rust, every caller already builds the Err — this row exists for completeness when porting code that calls luaD_throw directly with a precomputed status code (LUA_ERRMEM, LUA_ERRRUN, LUA_ERRSYNTAX, LUA_ERRERR).
luaD_rawrunprotected(L, f, ud)	state.run_protected(|s| f(s, ud))	CATCHER, not thrower. Returns `Result<(), LuaError>`; caller inspects the Err variant to recover the status. Replaces the setjmp landing pad.
luaD_pcall(L, func, ud, oldtop, errfunc)	state.protected_call(func, ud, oldtop, errfunc)	CATCHER. Higher-level than rawrunprotected: also resets stack and CallInfo on error. Returns `Result<(), LuaError>`.
#
# --- memory errors (lmem.h / lmem.c) ---
luaM_toobig(L)	return Err(LuaError::Memory)	"memory allocation error: block too big". In C this throws via luaD_throw(LUA_ERRMEM).
luaM_error(L)	return Err(LuaError::Memory)	Macro: `luaD_throw(L, LUA_ERRMEM)`. Use directly when an allocator returns NULL.
luaM_saferealloc_ / luaM_malloc_ / luaM_growaux_ returning NULL	let p = state.alloc(size)?;	The Rust allocator returns `Result<*mut T, LuaError>`; `?` propagates `LuaError::Memory`. No explicit `luaM_error` call site needed at the use point.
luaM_checksize(L, n, e)	state.check_alloc_size(n, e)?	Macro: tests `n * e` overflow then calls `luaM_toobig`. Folded into the safe allocator wrapper.
#
# --- string-building (lobject.c) — NOT throwers; usually paired with a throw ---
luaO_pushfstring(L, fmt, ...)	let s = state.push_fstring(format_args!(fmt, ...))?;	Builds a Lua string on top of the stack and returns its C pointer. The `?` propagates only OOM. In C this is frequently the immediate argument of `luaG_runerror`/`luaX_syntaxerror`; in Rust collapse the two-step pattern into a single `Err(LuaError::runtime(format_args!(...)))` whenever possible.
luaO_pushvfstring(L, fmt, va)	state.push_vfstring(fmt, args)?	va_list form; almost never used outside `luaG_runerror`'s internals. In Rust, prefer the `format_args!` constructor on `LuaError::runtime` and skip the push-then-throw indirection.
#
# --- aux library errors (lauxlib.c) ---
luaL_error(L, fmt, ...)	return Err(LuaError::runtime(format_args!(fmt, ...)))	C-API top-level error; equivalent to `luaL_where + pushvfstring + lua_concat + lua_error`. In Rust, the constructor prepends location info from the current CallInfo.
luaL_argerror(L, narg, "extramsg")	return Err(LuaError::arg_error(narg, "extramsg"))	"bad argument #N to '<fname>' (extramsg)". `<fname>` is derived from the calling C function name; in Rust the constructor reads it from the current CallInfo / hook context.
luaL_typeerror(L, narg, "tname")	return Err(LuaError::type_arg_error(narg, "tname", state.arg(narg)))	"<tname> expected, got <actual type>". Wraps `luaL_argerror` in C.
luaL_argexpected(L, cond, narg, "tname")	if !cond { return Err(LuaError::type_arg_error(narg, "tname", state.arg(narg))) }	Macro: `cond || luaL_typeerror(...)`. Translate to an explicit guard.
luaL_argcheck(L, cond, narg, "extramsg")	if !cond { return Err(LuaError::arg_error(narg, "extramsg")) }	Macro form of argerror.
luaL_checkstack(L, sz, "msg")	state.ensure_stack(sz, "msg")?	Throws "stack overflow (msg)" if growth fails. Returns `Result<(), LuaError>`.
luaL_checktype(L, narg, t)	state.check_arg_type(narg, t)?	Throws type_arg_error on mismatch. Constants like LUA_TTABLE map to `LuaType::Table`.
luaL_checkany(L, narg)	state.check_arg_any(narg)?	Throws `LuaError::arg_error(narg, "value expected")` if narg is none/nil-absent.
luaL_checklstring(L, narg, &len)	let s: &[u8] = state.check_arg_string(narg)?;	Throws type_arg_error("string") if non-string and non-coercible-number.
luaL_checkstring(L, narg)	let s: &[u8] = state.check_arg_string(narg)?;	Macro for `luaL_checklstring(L, n, NULL)`.
luaL_checknumber(L, narg)	let n: f64 = state.check_arg_number(narg)?;	Throws type_arg_error("number").
luaL_checkinteger(L, narg)	let i: i64 = state.check_arg_integer(narg)?;	Throws either "number expected, got <t>" or `LuaError::arg_error(narg, "number has no integer representation")`.
luaL_checkudata(L, narg, "tname")	let p = state.check_arg_userdata(narg, "tname")?;	Throws type_arg_error("tname"). Verifies metatable identity.
luaL_checkoption(L, narg, def, lst)	let i = state.check_arg_option(narg, def, &LST)?;	Throws `LuaError::arg_error(narg, "invalid option '<s>'")`.
#
# --- lexer / parser errors (llex.c, lparser.c) ---
luaX_syntaxerror(ls, "msg")	return Err(LuaError::syntax(format_args!("msg")))	Parser/lexer error at current token. In C this prepends `<source>:<line>:` and appends ` near <token>` (via lexerror), then luaD_throw(LUA_ERRSYNTAX). The Rust constructor reads source+line from `LexState`.
luaX_lexerror(ls, "msg", token)	return Err(LuaError::syntax_at(ls, "msg", token))	Like syntaxerror but for a specific token (not always the current one); used in numeric/string literal scanning. Internal in C (static `lexerror`); only `syntaxerror` is exported.
error_expected(ls, token)	return Err(LuaError::syntax(format_args!("{} expected", token_name(token))))	Static helper in lparser.c. In Rust make it a free fn in the parser module returning `Result<Never, LuaError>` or just inline.
errorlimit(fs, limit, "what")	return Err(LuaError::syntax(format_args!("too many {} (limit is {}) in {}", what, limit, where_str)))	Static helper for compile-time-limit overruns (locals, upvalues, constants, etc.).
check_match(ls, what, who, where_line)	state.parser_check_match(what, who, where_line)?	Helper that raises a syntax error mentioning the opening token if the closing token is missing on a different line. Fallible — propagate with `?`.
check_condition(ls, cond, "msg")	if !cond { return Err(LuaError::syntax(format_args!("msg"))) }	Macro form of `if (!cond) luaX_syntaxerror(ls, msg);`.
#
# --- top-level API (lapi.c) ---
lua_error(L)	return Err(LuaError::from_value(state.pop()))	Pops the error value from the stack and raises it. Special-cases the global "not enough memory" string to raise `LuaError::Memory` instead — replicate that check in `from_value`.
lua_pcall(L, n, r, f) / lua_pcallk(...)	state.protected_call(n, r, f)	CATCHER (alias for luaD_pcall at the C API layer). Returns `Result<(), LuaError>`; the status code is reconstructed by the caller from the Err variant if needed.
lua_atpanic(L, fn)	state.set_panic_handler(fn)	NOT an error site. The panic handler runs when an Err escapes a thread with no protected frame; in Rust this typically becomes a `process::abort` analogue in `lua-cli`.
